nama_file,teknik,cer_persen,wer_persen,jumlah_karakter_ocr,jumlah_karakter_gt,jumlah_kata_ocr,jumlah_kata_gt,waktu_detik
ASet BMD_page1.png,none,20.13,40.7,530,526,101,86,1.78
ASet BMD_page1.png,grayscale,32.24,60.47,447,526,84,86,1.06
ASet BMD_page1.png,clahe,17.18,36.05,528,526,96,86,1.31
ASet BMD_page1.png,binarize,19.8,44.19,518,526,99,86,1.34
ASet BMD_page1.png,line_removal,9.66,29.07,556,526,104,86,1.12
ASet BMD_page1.png,adaptive,7.53,23.26,548,526,103,86,1.07
BPH Manual_page1.png,none,45.37,61.15,525,838,98,157,2.05
BPH Manual_page1.png,grayscale,54.33,77.71,547,838,113,157,1.63
BPH Manual_page1.png,clahe,54.33,77.71,547,838,113,157,1.64
BPH Manual_page1.png,binarize,56.54,75.8,430,838,84,157,1.42
BPH Manual_page1.png,line_removal,2.11,9.55,836,838,167,157,1.45
BPH Manual_page1.png,adaptive,2.11,9.55,836,838,167,157,1.36
BPH Manual_page2.png,none,19.78,46.75,740,777,155,154,1.83
BPH Manual_page2.png,grayscale,25.7,51.95,712,777,151,154,1.15
BPH Manual_page2.png,clahe,29.25,53.25,676,777,144,154,1.22
BPH Manual_page2.png,binarize,28.71,48.05,684,777,133,154,1.23
BPH Manual_page2.png,line_removal,7.74,16.88,821,777,176,154,1.19
BPH Manual_page2.png,adaptive,5.05,11.69,803,777,167,154,1.27
Laporan Pemberian pakan_page1.png,none,40.72,75.49,532,508,125,102,2.44
Laporan Pemberian pakan_page1.png,grayscale,44.83,90.2,660,508,152,102,1.77
Laporan Pemberian pakan_page1.png,clahe,44.83,90.2,660,508,152,102,1.93
Laporan Pemberian pakan_page1.png,binarize,35.14,80.39,574,508,139,102,1.56
Laporan Pemberian pakan_page1.png,line_removal,9.36,20.59,527,508,114,102,0.98
Laporan Pemberian pakan_page1.png,adaptive,9.36,20.59,527,508,114,102,1.11
Laporan Pengisian air_page1.png,none,37.66,73.2,546,528,91,97,1.74
Laporan Pengisian air_page1.png,grayscale,46.79,77.32,421,528,80,97,0.89
Laporan Pengisian air_page1.png,clahe,46.79,77.32,421,528,80,97,0.92
Laporan Pengisian air_page1.png,binarize,47.44,71.13,342,528,75,97,0.88
Laporan Pengisian air_page1.png,line_removal,9.62,25.77,516,528,112,97,1.07
Laporan Pengisian air_page1.png,adaptive,9.62,25.77,516,528,112,97,1.11
Laporan Pergantain Air_page1.png,none,31.65,53.39,529,695,96,118,1.65
Laporan Pergantain Air_page1.png,grayscale,44.83,72.03,535,695,102,118,1.19
Laporan Pergantain Air_page1.png,clahe,44.83,72.03,535,695,102,118,1.15
Laporan Pergantain Air_page1.png,binarize,37.81,64.41,501,695,90,118,0.91
Laporan Pergantain Air_page1.png,line_removal,9.61,30.51,731,695,145,118,1.15
Laporan Pergantain Air_page1.png,adaptive,9.61,30.51,731,695,145,118,1.22
Panen Juni (1)_page1.png,none,49.09,71.43,363,552,64,105,1.61
Panen Juni (1)_page1.png,grayscale,47.87,69.52,357,552,69,105,1.05
Panen Juni (1)_page1.png,clahe,47.87,69.52,357,552,69,105,1.06
Panen Juni (1)_page1.png,binarize,42.23,62.86,400,552,85,105,1.1
Panen Juni (1)_page1.png,line_removal,13.72,29.52,588,552,127,105,1.09
Panen Juni (1)_page1.png,adaptive,13.72,29.52,588,552,127,105,1.1
Pengecekan Benur Udang_page1.png,none,62.04,89.83,1403,3218,168,600,3.48
Pengecekan Benur Udang_page1.png,grayscale,48.81,88.0,1947,3218,228,600,3.11
