denoise_threshold,denoise_method,median_kernel,gaussian_kernel,clahe_trigger,clahe_cliplimit,clahe_tile,binarize_median,binarize_blocksize,binarize_c,binarize_method,line_ratio_thresh,line_removal,line_dilation,line_dilation_iter,avg_cer,avg_wer
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.001,"(10, 40)","(2, 2)",1,14.5483,41.02
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.001,"(10, 40)","(2, 2)",2,14.6006,41.7422
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.001,"(10, 40)","(3, 3)",1,8.6428,23.1967
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.001,"(10, 40)","(3, 3)",2,8.9106,23.5094
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.001,"(10, 40)","(5, 5)",1,8.9106,23.5094
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.001,"(10, 40)","(5, 5)",2,9.1228,24.0572
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.001,"(10, 50)","(2, 2)",1,15.0694,41.535
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.001,"(10, 50)","(2, 2)",2,14.6378,39.5317
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.001,"(10, 50)","(3, 3)",1,8.6567,23.1128
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.001,"(10, 50)","(3, 3)",2,9.6083,25.675
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.001,"(10, 50)","(5, 5)",1,9.6083,25.675
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.001,"(10, 50)","(5, 5)",2,9.0894,24.8644
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.003,"(10, 40)","(2, 2)",1,14.5483,41.02
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.003,"(10, 40)","(2, 2)",2,14.6006,41.7422
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.003,"(10, 40)","(3, 3)",1,8.6383,23.1633
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.003,"(10, 40)","(3, 3)",2,8.9061,23.4761
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,gaussian_c,0.003,"(10, 40)","(5, 5)",1,8.9061,23.4761
